gas_valve_position_percent,measured_ch4_percent,voltage,diesel_mass_flow,water_flow,ch4_volumeflow_raw,current_phase_1,current_phase_2,power_output,boost_pressure,exhaust_pressure,ch4_volumeflow,co2_volumeflow_raw,co2_volumeflow_processed,generator_frequency,cooling_water_out_temp,cooling_water_in_temp,exhaust_temp,calculated_ch4_share_percent,ch4_mass_flow_calc,des_percent,efficiency_electric,efficiency_thermal,sheet
13.0,51.684,230.454,0.415,5.657,77.105,8.541,8.503,5.905,0.901,2.685,50.8,22.122,0.0,52.753,100.0,100.0,235.823,100.0,3.3045000000000004,9.680972075472193,11.613560812640042,0.0,P6C70_2
13.0,52.206,230.914,0.41,5.417,77.099,8.565,8.494,5.918,0.908,2.681,50.8,22.07,0.0,52.869,100.0,100.0,237.231,99.99999999999999,3.3042428571428566,9.576176377951585,11.653539869594045,0.0,P6C70_2
13.0,51.314,230.437,0.447,5.609,76.825,8.554,8.5,5.906,0.916,2.685,50.8,22.033,0.0,52.763,100.0,100.0,236.21,100.0,3.2925000000000004,10.383999732333283,11.567119265515998,0.0,P6C70_2
13.0,51.581,230.815,0.387,5.159,76.971,8.563,8.498,5.916,0.879,2.703,50.8,22.019,0.0,52.735,100.0,100.0,235.901,100.0,3.2987571428571436,9.101533083626984,11.73022596214525,0.0,P6C70_2
13.0,51.893,230.552,0.443,5.243,76.854,8.671,8.502,5.907,0.917,2.719,50.8,21.989,0.0,52.713,100.0,100.0,235.817,100.0,3.2937428571428575,10.297162971470168,11.575918398660793,0.0,P6C70_2
,,,,,,,,,,1.79055,,,,,,,,,,,,,P6C70_2
17.3,51.857,230.7,0.467,8.002,84.449,11.459,11.41,7.927,0.903,2.581,56.4,23.917,0.0,52.729,100.0,100.0,269.278,100.0,3.619242857142857,9.920272263776683,14.196791200289253,0.0,P8C70
17.3,51.824,231.029,0.454,7.832,84.506,11.468,11.408,7.935,0.899,2.57,56.5,23.981,0.0,52.721,100.0,100.0,268.896,100.0,3.6216857142857144,9.664932763553715,14.24178880023911,0.0,P8C70
17.3,52.152,230.569,0.484,7.938,84.497,11.453,11.41,7.924,0.917,2.562,56.5,24.126,0.0,52.794,100.0,100.0,268.912,100.0,3.6213,10.2391770957256,14.133144052466115,0.0,P8C70
17.3,52.082,230.93,0.441,7.774,84.537,11.473,11.416,7.933,0.923,2.582,56.4,24.197,0.0,52.703,100.0,100.0,269.693,100.0,3.6230142857142855,9.411110073078769,14.272969690720045,0.0,P8C70
17.3,52.452,230.569,0.474,8.016,84.768,11.455,11.409,7.921,0.914,2.58,56.4,24.266,0.0,52.784,100.0,100.0,269.297,100.0,3.6329142857142855,10.019975706382594,14.117017917811614,0.0,P8C70
17.3,51.758,230.979,0.437,7.492,84.768,11.479,11.406,7.936,0.905,2.569,56.4,24.276,0.0,52.839,100.0,100.0,269.81,100.0,3.6329142857142855,9.310648944931595,14.255248747159294,0.0,P8C70
17.3,52.062,230.536,0.436,8.255,84.742,11.455,11.408,7.926,0.903,2.558,56.5,24.277,0.0,52.767,100.0,100.0,269.181,100.0,3.6318,9.293908468310548,14.244283064659877,0.0,P8C70
17.3,52.263,230.93,0.489,7.809,84.78,11.474,11.411,7.939,0.907,2.578,56.3,24.244,0.0,52.857,100.0,100.0,269.058,100.0,3.6334285714285715,10.303081338359496,14.102584056878959,0.0,P8C70
17.3,51.996,230.569,0.433,7.659,84.411,11.456,11.409,7.924,0.905,2.577,56.4,24.173,0.0,52.686,100.0,100.0,269.792,100.0,3.6176142857142857,9.26872549090809,14.300499799548952,0.0,P8C70
17.3,51.807,230.946,0.494,8.273,84.745,11.478,11.417,7.935,0.905,2.565,56.4,24.153,0.0,52.841,100.0,100.0,268.781,100.0,3.6319285714285714,10.401323778204366,14.085855324701377,0.0,P8C70
17.3,51.778,230.601,0.472,8.07,84.497,11.461,11.404,7.926,0.891,2.588,56.4,24.145,0.0,52.838,100.0,100.0,269.988,100.0,3.6213,10.01072682181144,14.172690570934336,0.0,P8C70
17.3,52.321,230.881,0.416,7.787,84.534,11.476,11.417,7.931,0.926,2.567,56.3,24.177,0.0,52.843,100.0,100.0,270.023,100.0,3.6228857142857147,8.925505799849548,14.346371790836354,0.0,P8C70
